Maintenance date,Repair?,M1 (before),M2 (before),M3 (before),M1 (after),M2 (after),M3 (after)
2015-03-20,no repair,-1.4602960779106446,2.1958245889290815,-0.265991839395213,,,
2015-03-27,no repair,-0.8833445600914384,0.5628761270268272,-0.050480203096897804,,,
2015-04-03,no repair,-0.4681983557631952,0.9113883633020071,-0.265991839395213,,,
2015-04-10,no repair,-0.028087903067774863,-0.35337378447082324,-0.265991839395213,,,
2015-04-17,no repair,0.37873688513807563,-0.4714182515962874,-0.050480203096897804,,,
2015-04-24,no repair,0.8641528256109657,-0.952027867749963,-0.48150347569352514,,,
2015-05-01,no repair,1.3560409786234942,-1.292108356373324,-0.48150347569352514,,,
2015-05-08,repair,1.7166356772604983,-0.5810309710699327,-0.6970151119918373,-1.5730974964586304,2.0328108009939165,-0.6970151119918373
2015-05-15,no repair,-1.5444348409259456,2.0215684707914914,-0.265991839395213,,,
2015-05-22,no repair,-1.122816424058064,1.2317947740711241,-0.6970151119918373,,,
2015-05-29,no repair,-0.7612971236296829,0.5179068062171266,-0.48150347569352514,,,
2015-06-05,no repair,-0.5273728704113189,0.5684972921280398,-0.265991839395213,,,
2015-06-12,no repair,-0.35447233542383233,-0.5332510677096258,-0.050480203096897804,,,
2015-06-19,no repair,-0.33875410497042446,0.05978185046830132,0.1650314332014114,,,
2015-06-26,no repair,-0.20746065059489985,0.5066644760147014,0.38054306949972355,,,
2015-07-03,no repair,-0.029937106650528653,-0.6794013603411528,0.38054306949972355,,,
2015-07-10,no repair,0.07639209935781852,-0.49390291200113773,0.1650314332014114,,,
2015-07-17,no repair,0.27333228092110534,-0.4742288341468937,-0.050480203096897804,,,
2015-07-24,no repair,0.47674467502403073,-0.8058775751184359,0.1650314332014114,,,
2015-07-31,no repair,0.8530576041144426,-0.9464067026487504,0.1650314332014114,,,
2015-08-07,no repair,1.3301521284649405,-0.864899808681168,0.1650314332014114,,,
2015-08-14,repair,1.699068243224337,-1.3370776771830246,0.5960547057980358,-1.5730974964586304,2.0271896358927037,0.5960547057980358
2015-08-21,no repair,-1.5693990892931229,2.5668214856091116,0.38054306949972355,,,
2015-08-28,no repair,-1.2365424443974269,1.540958854637816,0.5960547057980358,,,
2015-09-04,no repair,-0.8121502221554143,0.9535471015611015,0.5960547057980358,,,
2015-09-11,no repair,-0.36649215871173263,-0.3168362113129415,0.5960547057980358,,,
2015-09-18,no repair,-0.034560115607413455,-0.46298650394446855,0.5960547057980358,,,
2015-09-25,no repair,0.5571850308738239,-0.8114987402196485,0.5960547057980358,,,
2015-10-02,no repair,1.0675652197138912,-1.261191948316655,1.2425896146929722,,,
2015-10-09,no repair,1.5502073548126498,-1.1572003939442221,1.0270779783946602,,,
2015-10-16,repair,1.8257386886429765,-1.2077908798551353,1.0270779783946602,-1.5730974964586304,2.0300002184433104,1.0270779783946602
2015-10-23,no repair,-1.524093601515653,1.375134484152045,0.8115663420963449,,,
2015-10-30,no repair,-1.0738125291150866,1.141856132451723,0.5960547057980358,,,
2015-11-06,no repair,-0.6013410137214736,0.26214379411195415,0.1650314332014114,,,
2015-11-13,no repair,-0.0595243639745906,-0.0161038783980685,0.38054306949972355,,,
2015-11-20,no repair,0.36579246005879873,-0.7018860207460031,-0.050480203096897804,,,
2015-11-27,no repair,0.8059029127542188,-1.1993591322033164,0.5960547057980358,,,
2015-12-04,no repair,1.1951602669239079,-0.7075071858472157,-0.050480203096897804,,,
